iter	Passed	Remaining
241	40898	128103
242	41069	127940
243	41225	127731
244	41397	127570
245	41564	127397
246	41730	127219
247	41880	126991
248	42041	126800
249	42198	126595
250	42346	126364
251	42506	126171
252	42660	125958
253	42823	125773
254	42985	125584
255	43162	125440
256	43326	125258
257	43494	125087
258	43662	124917
259	43803	124672
260	43917	124349
261	44031	124026
262	44166	123768
263	44286	123465
264	44402	123155
265	44538	122898
266	44656	122596
267	44778	122306
268	44896	122005
269	45016	121711
270	45135	121416
271	45258	121133
272	45385	120860
273	45512	120592
274	45632	120302
275	45748	120007
276	45873	119735
277	45988	119437
278	46111	119162
279	46226	118869
280	46341	118573
281	46455	118281
282	46590	118039
283	46706	117753
284	46849	117533
285	47013	117368
286	47166	117177
287	47318	116982
288	47504	116870
289	47684	116745
290	47851	116586
291	48030	116457
292	48203	116313
293	48351	116109
294	48511	115933
295	48681	115783
296	48857	115645
297	49040	115525
298	49207	115366
299	49370	115198
300	49526	115013
301	49704	114878
302	49858	114689
303	49974	114416
304	50113	114192
305	50237	113936
306	50375	113713
307	50509	113481
308	50632	113227
309	50755	112971
310	50884	112730
311	50998	112459
312	51128	112221
313	51244	111953
314	51363	111694
315	51477	111426
316	51601	111179
317	51716	110913
318	51846	110681
319	51967	110429
320	52103	110212
321	52217	109948
322	52335	109693
323	52448	109430
324	52574	109192
325	52696	108949
326	52814	108697
327	52960	108503
328	53134	108369
329	53303	108221
330	53491	108115
331	53653	107953
332	53815	107792
333	53989	107655
334	54218	107628
335	54445	107594
336	54675	107565
337	54908	107541
338	55143	107521
339	55382	107507
340	55623	107496
341	55864	107482
342	55997	107260
343	56110	107001
344	56230	106756
345	56347	106506
346	56463	106254
347	56596	106037
348	56713	105789
349	56836	105552
350	56954	105309
351	57072	105065
352	57207	104852
353	57338	104635
354	57453	104386
355	57567	104139
356	57691	103908
357	57809	103669
358	57923	103423
359	58042	103186
360	58163	102953
361	58276	102708
362	58391	102465
363	58504	102222
364	58618	101979
365	58731	101737
366	58845	101495
367	58961	101260
368	59076	101021
369	59189	100781
370	59303	100543
371	59424	100318
372	59537	100081
373	59651	99843
374	59766	99610
375	59883	99381
376	60032	99204
377	60195	99052
378	60345	98877
379	60517	98739
380	60685	98594
381	60834	98417
382	60996	98263
383	61150	98096
384	61317	97949
385	61485	97803
386	61656	97662
387	61804	97485
388	61969	97335
389	62151	97211
390	62318	97063
391	62471	96894
392	62637	96745
393	62788	96573
394	62938	96399
395	63058	96180
396	63179	95962
397	63297	95741
398	63412	95515
399	63525	95287
400	63640	95063
401	63753	94836
402	63880	94632
403	64009	94430
404	64124	94207
405	64240	93987
406	64363	93778
407	64477	93556
408	64595	93339
409	64707	93116
410	64820	92893
411	64941	92683
412	65058	92467
413	65172	92249
414	65290	92036
415	65405	91819
416	65520	91603
417	65641	91396
418	65755	91179
419	65883	90982
420	66015	90790
421	66172	90634
422	66334	90485
423	66485	90319
424	66634	90152
425	66811	90022
426	66980	89882
427	67197	89806
428	67405	89716
429	67619	89635
430	67837	89557
431	68050	89473
432	68262	89387
433	68470	89295
434	68693	89222
435	68910	89141
436	69085	89004
437	69202	88793
438	69314	88576
439	69428	88363
440	69550	88160
441	69662	87944
442	69778	87735
443	69891	87521
444	70008	87313
445	70126	87107
446	70241	86898
447	70363	86697
448	70477	86487
449	70594	86282
450	70707	86072
451	70820	85861
452	70933	85653
453	71049	85446
454	71168	85246
455	71281	85037
456	71396	84832
457	71518	84635
458	71639	84438
459	71769	84250
460	71881	84043
461	72002	83846
462	72158	83691
463	72326	83549
464	72481	83392
465	72638	83237
466	72800	83089
467	72982	82962
468	73138	82807
469	73322	82683
470	73482	82531
471	73656	82394
472	73812	82239
473	73997	82114
474	74146	81951
475	74315	81809
476	74488	81672
477	74642	81513
478	74819	81379
479	74989	81238
480	75124	81059
481	75245	80864
482	75360	80665
483	75473	80463
484	75596	80272
485	75719	80082
486	75845	79894
487	75957	79693
488	76073	79496
489	76191	79301
490	76314	79112
491	76432	78918
492	76547	78721
493	76670	78532
494	76782	78333
495	76902	78142
496	77014	77944
497	77128	77747
498	77257	77567
499	77373	77373
500	77488	77179
501	77613	76994
502	77725	76798
503	77839	76603
504	77963	76419
505	78085	76233
506	78255	76094
507	78415	75946
508	78587	75808
509	78733	75645
510	78887	75491
511	79062	75356
512	79276	75258
513	79514	75182
514	79753	75107
515	79990	75029
516	80223	74947
517	80470	74878
518	80707	74798
519	80942	74716
520	81178	74634
521	81315	74460
522	81433	74271
523	81548	74078
524	81661	73883
525	81774	73690
526	81900	73508
527	82013	73314
528	82130	73125
529	82255	72943
530	82372	72754
531	82511	72585
532	82627	72396
533	82740	72204
534	82873	72029
535	82988	71840
536	83108	71656
537	83231	71474
538	83358	71295
539	83479	71112
540	83601	70929
541	83715	70741
542	83828	70551
543	83952	70372
544	84068	70185
545	84188	70002
546	84302	69815
547	84425	69635
548	84545	69453
549	84659	69266
550	84776	69082
551	84887	68894
552	85003	68710
553	85118	68525
554	85260	68362
555	85424	68216
556	85599	68079
557	85754	67927
558	85906	67772
559	86060	67618
560	86222	67471
561	86379	67320
562	86550	67180
563	86697	67021
564	86861	66875
565	87076	66768
566	87235	66618
567	87360	66443
568	87492	66272
569	87617	66097
570	87741	65921
571	87857	65739
572	87979	65562
573	88100	65384
574	88222	65208
575	88336	65025
576	88456	64847
577	88571	64666
578	88685	64484
579	88801	64304
580	88925	64130
581	89036	63946
582	89162	63775
583	89280	63596
584	89403	63422
585	89529	63251
586	89644	63072
587	89767	62898
588	89881	62718
589	89995	62539
590	90116	62364
591	90228	62184
592	90348	62009
593	90471	61837
594	90589	61661
595	90707	61486
596	90835	61317
597	90951	61141
598	91067	60965
599	91189	60792
600	91342	60641
601	91516	60504
602	91683	60362
603	91842	60214
604	92002	60067
605	92187	59936
606	92345	59788
607	92514	59647
608	92668	59496
609	92839	59356
610	92988	59202
611	93187	59079
612	93360	58940
613	93545	58808
614	93704	58660
615	93887	58527
616	94062	58388
617	94231	58246
618	94351	58074
619	94464	57897
620	94594	57731
621	94729	57568
622	94861	57403
623	94981	57232
624	95105	57063
625	95226	56892
626	95340	56717
627	95454	56543
628	95569	56369
629	95683	56195
630	95800	56022
631	95915	55849
632	96030	55676
633	96142	55501
634	96256	55328
635	96367	55154
636	96483	54982
637	96600	54810
638	96714	54638
639	96833	54469
640	96948	54297
641	97073	54131
642	97185	53958
643	97297	53785
644	97426	53622
645	97541	53451
646	97656	53280
647	97773	53111
648	97887	52940
649	98002	52770
650	98118	52601
651	98255	52443
652	98427	52303
653	98595	52162
654	98764	52020
655	98917	51871
656	99091	51732
657	99246	51583
658	99416	51443
659	99578	51298
660	99760	51163
661	99930	51021
662	100099	50880
663	100273	50740
664	100456	50605
665	100609	50456
666	100770	50309
667	100920	50158
668	101107	50024
669	101277	49882
670	101391	49713
671	101511	49547
672	101628	49379
673	101741	49210
674	101863	49045
675	101981	48878
676	102112	48718
677	102236	48554
678	102358	48390
679	102475	48223
680	102591	48056
681	102707	47889
682	102830	47726
683	102949	47561
684	103068	47396
685	103197	47236
686	103318	47072
687	103435	46906
688	103549	46740
689	103669	46576
690	103782	46409
691	103896	46243
692	104014	46078
693	104142	45918
694	104259	45754
695	104414	45606
696	104562	45455
697	104737	45316
698	104903	45172
699	105071	45030
700	105233	44885
701	105403	44743
702	105575	44603
703	105753	44464
704	105929	44325
705	106086	44177
706	106260	44037
707	106428	43894
708	106578	43743
709	106743	43599
710	106921	43460
711	107082	43314
712	107234	43164
713	107358	43003
714	107477	42840
715	107593	42676
716	107703	42510
717	107817	42346
718	107937	42184
719	108054	42021
720	108166	41856
721	108279	41692
722	108394	41528
723	108525	41371
724	108640	41208
725	108752	41044
726	108872	40883
727	108996	40723
728	109125	40566
729	109247	40406
730	109373	40248
731	109484	40084
732	109595	39921
733	109712	39759
734	109826	39597
735	109942	39435
736	110055	39273
737	110192	39119
738	110316	38961
739	110466	38812
740	110634	38669
741	110791	38523
742	110957	38379
743	111138	38241
744	111304	38097
745	111453	37947
746	111611	37801
747	111770	37655
748	111933	37510
749	112102	37367
750	112258	37220
751	112413	37072
752	112590	36932
753	112751	36786
754	112911	36640
755	113073	36494
756	113228	36346
757	113386	36200
758	113499	36038
759	113617	35879
760	113729	35717
761	113846	35558
762	113970	35401
763	114081	35239
764	114195	35079
765	114311	34920
766	114424	34759
767	114556	34605
768	114670	34445
769	114789	34287
770	114908	34129
771	115026	33971
772	115143	33813
773	115260	33654
774	115374	33495
775	115492	33337
776	115613	33181
777	115726	33022
778	115845	32864
779	115966	32708
780	116083	32551
781	116194	32391
782	116308	32233
783	116454	32084
784	116623	31941
785	116769	31792
786	116944	31650
787	117126	31511
788	117274	31362
789	117424	31214
790	117594	31071
791	117752	30924
792	117935	30785
793	118087	30637
794	118243	30490
795	118398	30343
796	118569	30200
797	118736	30056
798	118889	29908
799	119062	29765
800	119213	29617
801	119364	29469
802	119486	29313
803	119599	29156
804	119715	28999
805	119826	28841
806	119939	28684
807	120064	28530
808	120183	28374
809	120295	28217
810	120418	28063
811	120540	27908
812	120663	27754
813	120780	27598
814	120892	27441
815	121007	27285
816	121137	27133
817	121253	26978
818	121371	26823
819	121484	26667
820	121597	26511
821	121714	26356
822	121827	26201
823	121950	26047
824	122066	25892
825	122179	25737
826	122296	25583
827	122462	25439
828	122629	25295
829	122774	25146
830	122924	24999
831	123079	24852
832	123230	24705
833	123406	24562
834	123583	24420
835	123735	24273
836	123902	24129
837	124057	23982
838	124216	23836
839	124381	23691
840	124549	23547
841	124712	23402
842	124862	23254
843	125012	23106
844	125169	22960
845	125320	22812
846	125466	22663
847	125586	22510
848	125704	22357
849	125815	22202
850	125930	22048
851	126043	21894
852	126164	21742
853	126277	21588
854	126406	21437
855	126526	21284
856	126652	21133
857	126776	20981
858	126898	20829
859	127023	20678
860	127137	20525
861	127249	20371
862	127365	20219
863	127494	20068
864	127609	19915
865	127724	19763
866	127840	19611
867	127964	19459
868	128077	19307
869	128190	19154
870	128301	19002
871	128432	18852
872	128587	18706
873	128752	18561
874	128906	18415
875	129091	18273
876	129270	18130
877	129488	17992
878	129717	17856
879	129945	17719
880	130174	17583
881	130412	17447
882	130646	17311
883	130876	17173
884	131104	17036
885	131353	16900
886	131556	16759
887	131679	16608
888	131802	16456
889	131925	16305
890	132049	16154
891	132169	16002
892	132289	15851
893	132410	15699
894	132531	15548
895	132641	15395
896	132756	15244
897	132871	15092
898	132996	14941
899	133112	14790
900	133227	14638
901	133348	14487
902	133460	14336
903	133590	14186
904	133713	14036
905	133827	13885
906	133939	13733
907	134053	13582
908	134167	13431
909	134295	13281
910	134417	13131
911	134543	12982
912	134718	12837
913	134888	12691
914	135060	12546
915	135272	12404
916	135483	12262
917	135702	12121
918	135909	11978
919	136131	11837
920	136344	11695
921	136550	11552
922	136764	11409
923	136983	11267
924	137197	11124
925	137409	10980
926	137617	10837
927	137733	10686
928	137861	10536
929	137976	10385
930	138090	10234
931	138227	10085
932	138344	9934
933	138458	9783
934	138578	9633
935	138703	9484
936	138831	9334
937	138948	9184
938	139061	9033
939	139186	8884
940	139308	8734
941	139426	8584
942	139541	8434
943	139653	8284
944	139774	8134
945	139907	7986
946	140021	7836
947	140137	7686
948	140251	7537
949	140366	7387
950	140486	7238
951	140634	7090
952	140784	6943
953	140953	6796
954	141114	6649
955	141274	6502
956	141453	6355
957	141585	6207
958	141696	6057
959	141818	5909
960	141938	5760
961	142061	5611
962	142181	5462
963	142297	5314
964	142411	5165
965	142523	5016
966	142645	4867
967	142800	4720
968	142960	4573
969	143107	4426
970	143280	4279
971	143445	4132
972	143619	3985
973	143766	3837
974	143938	3690
975	144174	3545
976	144445	3400
977	144695	3254
978	144832	3106
979	144949	2958
980	145064	2809
981	145175	2661
982	145290	2512
983	145412	2364
984	145536	2216
985	145651	2068
986	145763	1919
987	145877	1771
988	145997	1623
989	146131	1476
990	146244	1328
991	146356	1180
992	146469	1032
993	146593	884
994	146727	737
995	146908	589
996	147090	442
997	147266	295
998	147500	147
999	147741	0
